path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/0.gml,0.819107856283891,[-2.95665404  2.84710618],78
graphs/main/nodes_12/depth_3/1.gml,0.8275257730802765,[-2.95534699  2.84912265],69
graphs/main/nodes_12/depth_3/2.gml,0.7037037036964061,[-2.35668874  2.5109128 ],27
graphs/main/nodes_12/depth_3/3.gml,0.6999999999999967,[-2.35619464  2.53445036],21
graphs/main/nodes_12/depth_3/4.gml,0.7586206896549053,[-2.35619301  2.5326782 ],27
graphs/main/nodes_12/depth_3/5.gml,0.6893593059508487,[-1.33568581  2.3944798 ],39
graphs/main/nodes_12/depth_3/6.gml,0.8164312095121554,[2.95817448 1.8615254 ],63
graphs/main/nodes_12/depth_3/7.gml,0.8027166310486596,[-1.33938039  1.9919489 ],45
graphs/main/nodes_12/depth_3/8.gml,0.7969987167228384,[-1.76337193  2.00018974],75
graphs/main/nodes_12/depth_3/9.gml,0.8394923813871803,[-0.18230217  0.29463595],72
graphs/main/nodes_12/depth_3/10.gml,0.7399041071975914,[-1.73227063  2.65279897],36
graphs/main/nodes_12/depth_3/11.gml,0.7241379309497733,[-2.35623192  2.53547264],15
graphs/main/nodes_12/depth_3/12.gml,0.828673257607671,[-1.80119761  2.79536576],51
graphs/main/nodes_12/depth_3/13.gml,0.8451205918572838,[-1.78193006  2.72263091],45
graphs/main/nodes_12/depth_3/14.gml,0.7850545211366546,[-1.35628957 -1.9585416 ],183
graphs/main/nodes_12/depth_3/15.gml,0.7746117364239841,[-1.38335797 -0.40289183],90
graphs/main/nodes_12/depth_3/16.gml,0.8237414285990977,[-2.94845989  2.83853656],60
graphs/main/nodes_12/depth_3/17.gml,0.7435011545627374,[-1.83047687  2.75189041],39
graphs/main/nodes_12/depth_3/18.gml,0.7220903288575441,[-2.20243776  2.30909743],30
graphs/main/nodes_12/depth_3/19.gml,0.8084570962537709,[-1.77648794  2.72907074],45
graphs/main/nodes_12/depth_3/20.gml,0.713714240190602,[-1.32746716  2.35016631],48
graphs/main/nodes_12/depth_3/21.gml,0.8201566448517801,[ 0.17580084 -1.85194078],30
graphs/main/nodes_12/depth_3/22.gml,0.7637832571014688,[-1.39532808  1.93468124],33
graphs/main/nodes_12/depth_3/23.gml,0.84488031981491,[0.20869666 2.82658974],60
graphs/main/nodes_12/depth_3/24.gml,0.8336045612134829,[ 1.75947986 -0.33404551],93
graphs/main/nodes_12/depth_3/25.gml,0.8596694821047385,[ 0.16309681 -1.83853397],30
graphs/main/nodes_12/depth_3/26.gml,0.7462369351013857,[-1.77377687 -2.73353071],45
graphs/main/nodes_12/depth_3/27.gml,0.7311076645607949,[-1.40959901  2.05914758],33
graphs/main/nodes_12/depth_3/28.gml,0.7872861122531913,[-1.33757179  2.31455502],39
graphs/main/nodes_12/depth_3/29.gml,0.8574299572409336,[-2.97119996  1.29416614],51
graphs/main/nodes_12/depth_3/30.gml,0.7214752294018265,[-1.47320898  1.28995766],30
graphs/main/nodes_12/depth_3/31.gml,0.824318333810724,[-1.39818678  1.92272203],30
graphs/main/nodes_12/depth_3/32.gml,0.8284331266871114,[ 0.18596779 -1.8653281 ],30
graphs/main/nodes_12/depth_3/33.gml,0.8144197343649489,[-1.7699395   2.72722667],33
