path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/angle_rounding_gamma/0.gml,0.5,[ 1.56324989 -2.57407497],3
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/angle_rounding_gamma/0.gml,0.5714285714285714,[-1.57079635 -3.53429173],45
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/angle_rounding_gamma/0.gml,0.6880709401325322,[-4.09690928 -2.74889358],36
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/angle_rounding_gamma/0.gml,0.6175867509066509,[-0.88402005  2.74889358],27
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/angle_rounding_gamma/0.gml,0.7350107870653804,[0.93592944 0.39269908],30
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/angle_rounding_gamma/0.gml,0.7017065272958072,[0.89095845 1.9634954 ],24
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/angle_rounding_gamma/0.gml,0.7822430643375546,[-0.56652038  1.22222667],24
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/angle_rounding_gamma/0.gml,0.7017065272958072,[0.89095845 1.9634954 ],24
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/angle_rounding_gamma/0.gml,0.7601820712371244,[ 0.89095843 -1.17809724],24
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/angle_rounding_gamma/0.gml,0.7822430643375546,[-0.56652038  1.22222667],24
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/angle_rounding_gamma/0.gml,0.777766935442894,[-0.66993951 -0.3632311 ],45
graphs/main/all_8/graph_10006/10006.gml,graphs/main/all_8/graph_10006/angle_rounding_gamma/0.gml,0.7822430643375549,[0.56652039 3.49016231],30
graphs/main/all_8/graph_10007/10007.gml,graphs/main/all_8/graph_10007/angle_rounding_gamma/0.gml,0.8474299863656843,[0.56652039 3.49016231],30
graphs/main/all_8/graph_10008/10008.gml,graphs/main/all_8/graph_10008/angle_rounding_gamma/0.gml,0.8207046027990932,[-0.5665204  -1.91936598],24
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/angle_rounding_gamma/0.gml,0.75,[-1.57079632  2.74889358],27
graphs/main/all_8/graph_1001/1001.gml,graphs/main/all_8/graph_1001/angle_rounding_gamma/0.gml,0.7420146392259702,[-0.70632524  1.21778038],30
