path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/max_degree_all/0.gml,0.5,[-2.03005299 -2.52014553],3
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/max_degree_all/0.gml,0.5714285714285714,[-1.57079631  1.17809724],27
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/max_degree_all/0.gml,0.6880709401325323,[ 0.95531662 -2.74889358],27
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/max_degree_all/0.gml,0.617586750906651,[0.88402006 0.39269909],27
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/max_degree_all/0.gml,0.805331182572441,[-0.76940778  1.17809724],39
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/max_degree_all/1.gml,0.7722664691292166,[0.70632523 0.35301594],42
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/max_degree_all/0.gml,0.7437815258760163,[ 0.56652039 -2.793023  ],27
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/max_degree_all/1.gml,0.7518189942766141,[-0.57097182  2.78118763],24
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/max_degree_all/2.gml,0.7427888968723829,[0.55938952 0.34693903],30
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/max_degree_all/0.gml,0.7822430643375545,[-0.56652038 -1.919366  ],36
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/max_degree_all/0.gml,0.7437815258760162,[-0.56652038 -1.91936598],33
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/max_degree_all/1.gml,0.7332898532166726,[-0.5369685  -0.33292754],51
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/max_degree_all/2.gml,0.7518189942766141,[0.57097182 0.36040502],24
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/max_degree_all/0.gml,0.7943973409847286,[ 0.53696849 -1.23786879],36
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/max_degree_all/1.gml,0.8057633196990176,[-0.56652038 -0.34856966],42
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/max_degree_all/2.gml,0.8046879716117483,[0.55938952 0.34693903],33
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/max_degree_all/0.gml,0.7822430643375546,[0.56652038 1.91936598],27
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/max_degree_all/0.gml,0.8038710495555303,[ 0.55009503 -2.79847389],27
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/max_degree_all/1.gml,0.8057633196990176,[0.56652039 0.34856966],30
graphs/main/all_8/graph_10006/10006.gml,graphs/main/all_8/graph_10006/max_degree_all/0.gml,0.7822430643375545,[ 0.56652038 -2.79302301],30
graphs/main/all_8/graph_10007/10007.gml,graphs/main/all_8/graph_10007/max_degree_all/0.gml,0.8474299863656842,[-0.56652039  4.36381932],39
graphs/main/all_8/graph_10008/10008.gml,graphs/main/all_8/graph_10008/max_degree_all/0.gml,0.8207046027990932,[-0.56652038 -0.34856966],63
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/max_degree_all/0.gml,0.7967633928156904,[ 0.55044075 -2.80864554],33
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/max_degree_all/1.gml,0.7870114534796322,[-0.52128351  1.25424848],27
graphs/main/all_8/graph_1001/1001.gml,graphs/main/all_8/graph_1001/max_degree_all/0.gml,0.7420146392259703,[0.70632521 0.35301594],30
graphs/main/all_8/graph_10010/10010.gml,graphs/main/all_8/graph_10010/max_degree_all/0.gml,0.7744727870787065,[ 0.50509476 -2.8436669 ],60
graphs/main/all_8/graph_10010/10010.gml,graphs/main/all_8/graph_10010/max_degree_all/1.gml,0.7967633928156902,[0.55044075 0.33294712],39
graphs/main/all_8/graph_10011/10011.gml,graphs/main/all_8/graph_10011/max_degree_all/0.gml,0.7335044135822248,[-0.53327617  1.24062702],27
