path,random_path,p_1,p_1_angles,p_1_nfev
graphs/main/all_8/graph_0/0.gml,graphs/main/all_8/graph_0/0.gml,0.75,[-1.57079632 -1.96349541],30
graphs/main/all_8/graph_1/1.gml,graphs/main/all_8/graph_1/1.gml,0.7253645471517493,[-70.3705072   -0.39269908],51
graphs/main/all_8/graph_10/10.gml,graphs/main/all_8/graph_10/10.gml,0.7839133663999638,[-0.71981185  2.76954136],48
graphs/main/all_8/graph_100/100.gml,graphs/main/all_8/graph_100/100.gml,0.7020142599193481,[ 0.68016967 -1.17809724],27
graphs/main/all_8/graph_1000/1000.gml,graphs/main/all_8/graph_1000/1000.gml,0.8389785140428491,[-0.63086744 -0.35777647],42
graphs/main/all_8/graph_10000/10000.gml,graphs/main/all_8/graph_10000/10000.gml,0.7681734324012626,[0.48843441 1.90266108],24
graphs/main/all_8/graph_10001/10001.gml,graphs/main/all_8/graph_10001/10001.gml,0.7956026165396252,[0.45843806 1.8811053 ],24
graphs/main/all_8/graph_10002/10002.gml,graphs/main/all_8/graph_10002/10002.gml,0.76257335003226,[-0.48197341 -1.89577277],36
graphs/main/all_8/graph_10003/10003.gml,graphs/main/all_8/graph_10003/10003.gml,0.8254831388024687,[-0.48000596 -0.32413905],33
graphs/main/all_8/graph_10004/10004.gml,graphs/main/all_8/graph_10004/10004.gml,0.7909695392839773,[-0.45200062 -0.30449894],33
graphs/main/all_8/graph_10005/10005.gml,graphs/main/all_8/graph_10005/10005.gml,0.8312155015252229,[-0.4825069   2.81219628],24
graphs/main/all_8/graph_10006/10006.gml,graphs/main/all_8/graph_10006/10006.gml,0.7998131555141483,[-0.46199511  2.82588115],33
graphs/main/all_8/graph_10007/10007.gml,graphs/main/all_8/graph_10007/10007.gml,0.8659140874758043,[0.46008181 0.31503696],24
graphs/main/all_8/graph_10008/10008.gml,graphs/main/all_8/graph_10008/10008.gml,0.829958077841237,[0.43632692 0.29880996],30
graphs/main/all_8/graph_10009/10009.gml,graphs/main/all_8/graph_10009/10009.gml,0.8145432021228931,[2.67651221 1.878878  ],33
graphs/main/all_8/graph_1001/1001.gml,graphs/main/all_8/graph_1001/1001.gml,0.7889273796018093,[-0.58697236  2.80394185],27
graphs/main/all_8/graph_10010/10010.gml,graphs/main/all_8/graph_10010/10010.gml,0.8053640433304708,[ 0.45641653 -1.27374653],33
graphs/main/all_8/graph_10011/10011.gml,graphs/main/all_8/graph_10011/10011.gml,0.7618632595728827,[-0.47678278  1.24831367],54
graphs/main/all_8/graph_10012/10012.gml,graphs/main/all_8/graph_10012/10012.gml,0.7904507125600493,[-6.73145373 -1.87333574],42
graphs/main/all_8/graph_10013/10013.gml,graphs/main/all_8/graph_10013/10013.gml,0.7577261199192896,[-0.47657846  2.82427884],33
graphs/main/all_8/graph_10014/10014.gml,graphs/main/all_8/graph_10014/10014.gml,0.786768999402846,[0.44544911 0.29786057],33
graphs/main/all_8/graph_10015/10015.gml,graphs/main/all_8/graph_10015/10015.gml,0.8251482558813309,[0.47516752 1.89173251],36
graphs/main/all_8/graph_10016/10016.gml,graphs/main/all_8/graph_10016/10016.gml,0.7949718474231461,[ 0.45419709 -1.26240199],30
graphs/main/all_8/graph_10017/10017.gml,graphs/main/all_8/graph_10017/10017.gml,0.8605345682127101,[-0.45222088 -1.87832412],30
graphs/main/all_8/graph_10018/10018.gml,graphs/main/all_8/graph_10018/10018.gml,0.8258079602631384,[0.42876348 1.86334014],54
graphs/main/all_8/graph_10019/10019.gml,graphs/main/all_8/graph_10019/10019.gml,0.7675571756360637,[-0.48317619 -0.32979566],42
graphs/main/all_8/graph_1002/1002.gml,graphs/main/all_8/graph_1002/1002.gml,0.7778561472845325,[0.56880496 3.46423757],66
graphs/main/all_8/graph_10020/10020.gml,graphs/main/all_8/graph_10020/10020.gml,0.793315668077642,[0.50626738 3.48307413],21
graphs/main/all_8/graph_10021/10021.gml,graphs/main/all_8/graph_10021/10021.gml,0.7625371275998455,[-0.47990442 -0.32364727],45
graphs/main/all_8/graph_10022/10022.gml,graphs/main/all_8/graph_10022/10022.gml,0.8573057049253627,[-0.49343513  2.81210133],39
graphs/main/all_8/graph_10023/10023.gml,graphs/main/all_8/graph_10023/10023.gml,0.8255603919229021,[0.47707719 1.89219178],54
graphs/main/all_8/graph_10024/10024.gml,graphs/main/all_8/graph_10024/10024.gml,0.8262494086278505,[0.47946936 0.32223939],99
graphs/main/all_8/graph_10025/10025.gml,graphs/main/all_8/graph_10025/10025.gml,0.8310588388353447,[ 0.47982068 -2.81361521],30
graphs/main/all_8/graph_10026/10026.gml,graphs/main/all_8/graph_10026/10026.gml,0.7996093635081644,[-0.45958196 -1.88511897],27
graphs/main/all_8/graph_10027/10027.gml,graphs/main/all_8/graph_10027/10027.gml,0.820260058292635,[ 0.47238528 -2.82653832],24
graphs/main/all_8/graph_10028/10028.gml,graphs/main/all_8/graph_10028/10028.gml,0.8266229882927708,[-0.48265459  1.24683194],24
graphs/main/all_8/graph_10029/10029.gml,graphs/main/all_8/graph_10029/10029.gml,0.8217866053442738,[0.47942785 1.88763456],33
graphs/main/all_8/graph_1003/1003.gml,graphs/main/all_8/graph_1003/1003.gml,0.7639673199468029,[0.64452227 1.94235876],27
graphs/main/all_8/graph_10030/10030.gml,graphs/main/all_8/graph_10030/10030.gml,0.7954331670494816,[0.45609417 1.87978426],27
graphs/main/all_8/graph_10031/10031.gml,graphs/main/all_8/graph_10031/10031.gml,0.8206473515367371,[ 0.47651012 -1.2538223 ],24
graphs/main/all_8/graph_10032/10032.gml,graphs/main/all_8/graph_10032/10032.gml,0.8155490136818638,[-24.662772   -15.39846305],90
graphs/main/all_8/graph_10033/10033.gml,graphs/main/all_8/graph_10033/10033.gml,0.8161396612434073,[0.47230491 3.45183339],33
graphs/main/all_8/graph_10034/10034.gml,graphs/main/all_8/graph_10034/10034.gml,0.8258906720924221,[0.48017152 0.32333963],45
graphs/main/all_8/graph_10035/10035.gml,graphs/main/all_8/graph_10035/10035.gml,0.7911239082991257,[-0.45137912 -1.87440119],36
graphs/main/all_8/graph_10036/10036.gml,graphs/main/all_8/graph_10036/10036.gml,0.7623291763008064,[0.47949737 0.32303542],24
graphs/main/all_8/graph_10037/10037.gml,graphs/main/all_8/graph_10037/10037.gml,0.7630366045779424,[-0.48265459  1.24683193],42
graphs/main/all_8/graph_10038/10038.gml,graphs/main/all_8/graph_10038/10038.gml,0.8249774344322319,[0.47360958 1.89161291],27
graphs/main/all_8/graph_10039/10039.gml,graphs/main/all_8/graph_10039/10039.gml,0.7950151352269142,[ 0.45476009 -2.83317917],30
graphs/main/all_8/graph_1004/1004.gml,graphs/main/all_8/graph_1004/1004.gml,0.7321732825996135,[-0.60317115  1.20906697],33
graphs/main/all_8/graph_10040/10040.gml,graphs/main/all_8/graph_10040/10040.gml,0.7638260865923349,[-0.48643041 -1.89580042],33
graphs/main/all_8/graph_10041/10041.gml,graphs/main/all_8/graph_10041/10041.gml,0.7955395381705291,[0.45708362 1.87987248],60
graphs/main/all_8/graph_10042/10042.gml,graphs/main/all_8/graph_10042/10042.gml,0.7960506217353627,[0.45936092 1.88052586],33
graphs/main/all_8/graph_10043/10043.gml,graphs/main/all_8/graph_10043/10043.gml,0.8659631244005901,[-0.45861618  2.82760599],33
graphs/main/all_8/graph_10044/10044.gml,graphs/main/all_8/graph_10044/10044.gml,0.8299855573489735,[0.43550402 0.29784475],30
graphs/main/all_8/graph_10045/10045.gml,graphs/main/all_8/graph_10045/10045.gml,0.7136623057148298,[-0.48805427 -3.4740917 ],42
graphs/main/all_8/graph_10046/10046.gml,graphs/main/all_8/graph_10046/10046.gml,0.7578786619141608,[-0.47642808 -3.45917326],33
graphs/main/all_8/graph_10047/10047.gml,graphs/main/all_8/graph_10047/10047.gml,0.7430021791964775,[ 0.46221101 -2.82533877],24
graphs/main/all_8/graph_10048/10048.gml,graphs/main/all_8/graph_10048/10048.gml,0.7084656017313751,[-2.65982296 -1.8961133 ],36
graphs/main/all_8/graph_10049/10049.gml,graphs/main/all_8/graph_10049/10049.gml,0.7386293090451396,[-0.45681401  1.26061139],27
graphs/main/all_8/graph_1005/1005.gml,graphs/main/all_8/graph_1005/1005.gml,0.8013507516967138,[0.59356948 0.34665641],33
graphs/main/all_8/graph_10050/10050.gml,graphs/main/all_8/graph_10050/10050.gml,0.7524125942079395,[ 0.46848507 -1.25889673],27
